Date/Time,Word Count,en,ru
2023.07.14-13.34.19,159,159,0
2023.07.14-13.38.24,159,159,134
2023.07.23-15.51.07,171,171,134
2023.07.23-15.52.56,171,171,143
2023.07.24-17.14.30,181,181,135
2023.07.24-17.27.34,181,181,149
2023.07.25-00.05.52,191,191,149
2023.07.25-00.08.06,191,191,160
